Identifier,Title,Date of Publication,Place of Publication
87934,"Inventaire analytique des archives anciennes de la Mairie d'Angers, suivi de tables et de documents inédits, publié sous les auspices du Conseil municipal, par M. Célestin Port",1861,Paris
88350,Royauté ou Empire. La France en 1814 d'après les rapports inédits du comte Anglès. [Edited by G. Firmin Didot.],1898,Paris
89469,"Masaniello, the fisherman of Naples: an historical play, etc. [In verse. By George Soane.]",1825,London
89796,Grundzüge der Landesnatur des Westjordanlandes ... Mit einem Vorworte von ... T. Fischer,1887,Frankfurt
90416,Annals of a Fishing Village. Drawn from the notes of “A Son of the Marshes” [i.e. Denham Jordan]. Edited by J. A. Owen. [With plates.],1891,Edinburgh & London
90417,Annals of an Eventful Life. [By Sir George W. Dasent.],1870,London
90432,"Annals of the Twenty-ninth Century; or, the Autobiography of the Tenth President of the World Republic. [By Andrew Blair.]",1874,London
90671,"Anna Ruina. [A drama in verse. By Michael Field, i.e. K. H. Bradley and E. E. Cooper.]",1899,London
91083,"Voyages and Travels to India, Ceylon, the Red Sea, Abyssinia, and Egypt. 1802, 1803, 1804, 1805 and 1806. [With plates by Henry Salt.]",1809,London
91204,"Annette. [A novel.] By the author of “St. Olave's,” etc. [i.e. Eliza Tabor, afterwards Stephenson.]",1877,London
91396,"Storia di Civitavecchia dalla sua origine fino all' anno 1848. [Edited, with a life of the author, by D. and B. Annovazzi. With plates.]",1853,Roma
92162,"La Valdinievole illustrata nella storia naturale, civile ed ecclesiastica dell'agricoltura, delle industrie e delle arti belle ... Opera postuma pubblicata per cura della famiglia e preceduta da un discorso sulla vita e sulle opere dell'autore scritto dal dottore Angiolo Bertacchi",1879,Pescia
92702,"Verses on the Death of Lady Anson, addressed to her father. [By David Mallet.]",1760,London?
93013,The Channel Islands ... With illustrations drawn by P. J. Naftel [and with maps],1862,London
93014,[The Channel Islands ... With illustrations drawn by P. J. Naftel [and with maps].],1865,London
93061,"The new Bath Guide ... With a biographical and topographical preface, and anecdotical annotations by John Britton ... Embellished with engravings [by George Cruikshank and S. Williams]",1830,London
93082,"Baboo Jabberjee, B.A. ... With illustrations by J. Bernard Partridge",1897,London
93124,[The Tinted Venus: a farcical romance.],1898,London & New York
93565,"South American Emancipation. Documents shewing the designs which have been in progress and the exertions made by General Miranda for the South American Emancipation, during the last twenty-five years. [With a portrait of Miranda, and a plan.]",1810,London
94393,"The Anti-Corsican, a poem, in three cantos; inscribed to the Volunteers of Great-Britain. [A satire against Napoleon. By Matthew Rolleston.]",1805,Exeter
94484,The New Antigone. A romance. [By William Barry.],1887,London
94545,"Antigua and the Antiguans: a full account of the colony and its inhabitants from the time of the Caribs to the present day ... Also, an impartial view of slavery and the free labour systems, etc. [By Mrs. Flannigan.]: Appendix",1844,London
94892,Chronicles of London Bridge: by an Antiquary [i.e. Richard Thomson]. [With illustrations.],1827,London
94906,The Modern Antique: or the Muse in the costume of Queen Anne. [By Isaac Gompertz.],1813,London
95781,"Antonini Placentini Itinerarium, im unentstellten Text mit deutscher Übersetzung herausgegeben von Dr. J. Gildemeister",1889,Berlin
96025,Doctor Antonio: a tale. By the author of Lorenzo Benoni [i.e. Giovanni D. Ruffini],1855,Edinburgh
98625,"Apollo turn'd Stroller; or, Thereby hangs a Tale. A musical pasticcio in two parts, etc. [By Sir John Oldmixon.]",1787,London
99576,"Songs, Choruses, &c. in The Apparition! A musical dramatic romance, in two acts [by J. C. Cross], etc",1794,London
99578,The Appartion [sic]. A poem. [By Abel Evans. A satire on Matthew Tindal's “The Rights of the Christian Church asserted.”],1710,London
99583,"The Apparition, a romance",1846,London
99710,"Appearance is against them; a farce in two acts, etc. [By Elizabeth Inchbald.]",1785,London
99961,"The Vale of Apperley, and other poems. [By William Greenwood.]",1822,Malton
100453,Correspondence between Nathan Appleton and J. A. Lowell in relation to the early history of the city of Lowell,1848,Boston
100850,"The Young Apprentice; or, the Watch-words of old London. [By V. I. Saint John.] With ... engravings, etc",1868,London
101009,"April-Day, a burletta, in three acts. [In verse.] Written by the author of Midas [i.e. Kane O'Hara]",1777,London
101363,[Cupid & Psyche. A mythological tale from the Golden Ass of Apuleius. [In verse. By Hudson Gurney.]]: Asinus Aureus. Selections. English,1801,London
101366,"Cupid and Psyche: a mythological tale, from the Golden Ass of Apuleius. [The preface signed: H. G., i.e. Hudson Gurney.]: Asinus Aureus. Selections. English",1844,Great Yarmouth
103149,"The Land of Ararat; or, Up the Roof of the World. By a special correspondent [i.e. Alexander Macdonald]",1893,London
103877,An English Garner. Ingatherings from our history and literature,1877,London
104150,"Histoire des ducs et des comtes de Champagne, etc. (tom. 4-6 par M. H. d'Arbois de Jubainville avec la collaboration de M. L. Pigeotte.-tom. 7. Livre des vassaux du comté de Champagne et de Brie 1172-1222. Publié d'après le manuscrit unique des Archives de l'Empire par Auguste Longnon.)",1859,Paris
104154,"[Les Premiers habitants de l'Europe d'après les auteurs de l'antiquité, et les recherches les plus récentes de la linguistique.]",1889,Paris
105878,La Patria di Pietro Micca,1883,Milano
106158,Palerme et la civilisation en Sicile. Conférence ... Préface du Vte Combes de Lestrade,1898,Paris
106294,"Papers and Despatches relating to the Arctic Searching Expeditions of 1850-51. Together with a few remarks as to the probable course pursued by Sir John Franklin, etc. [Compiled by James Mangles. With maps.]",1851,London
106624,"Arden of Feversham, a tragedy: reprinted from the edition of 1592. With an introduction by A. H. Bullen",1887,London
106918,Études algériennes. L'Algérie politique et économique. À travers la province d'Oran. Lettres sur l'insurrection dans le sud oranais ... Avec une préface de M. L. Drapeyron,1882,Paris
107010,"Hans Ardüser's rätische Chronik. Herausgegeben auf Veranstaltung der bündnerischen naturhistorischen Gesellschaft. Nebst einem historischen Commentar von J. Bott, etc. Erschienen als Beilage zu den Jahresberichten XV-XX der N.G",1877,Chur
107307,"Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1",1840,Amsterdam
107921,"The Count Arezzi, a tragedy, in five acts. [By Robert Eyres Landor. In verse.]",1824,London
107924,Memorie istoriche per servire di guida al forestiero in Arezzo. [By G. A. Angelucci and others. With a map.],1819,Firenze
108063,"Mémoires d'Olivier d'Argens, et correspondances des généraux Charette, Stofflet, Puisaye, d'Autichamp, Frotté, Cormatin, Botherel; de l'abbé Bernier, etc., et de plusieurs autres chefs, officiers, agens royalistes; pour servir à l'histoire de la Guerre civile de 1793 à 1796",1824,Paris
109420,"A Narrative of the Voyage of the Argonauts in 1880; compiled by the bard [i.e. William Mitchell Banks] from the most authentic records, illustrated by the photographer [i.e. Richard Caton], etc. [An account of a voyage to Iceland and Norway.]",1881,Edinburgh
109429,The Queen of Argos; a tragedy: in five acts. [In verse. By William B. Bell.],1823,London
109445,Procès-verbal de la généralité de Moulins dressé en 1686 ... Publié par A. Vayssière,1892,Moulins
109932,Refutación al discurso del Ilmo. Sr. D. A. Fernández-Guerra y Orbe ... sobre la ilegitimidad del antiquísimo fuero de Avilés,1867,Madrid
110749,"Histoire populaire de Toulouse.-Dessins de Debat-Ponsan, etc",1898,Toulouse
111406,"Πλουτοφθαλμια πλουτογαμια. A pleasant comedie, entituled Hey for Honesty, Down with Knavery. Translated out of Aristophanes his Plutus, by Tho: Randolph. Augmented and published by F. J. [i.e. F. Jaques or Jacques?]: Single Works. Plutus. English",1651,London
111455,"The Frogs, a comedy. Translated ... by C. Dunster. Ms. notes [by C. Burney]: Single Works. Ranae. English",1785,Oxford
111669,"The History of Animals of Aristotle, and his Treatise on Physiognomy, translated from the Greek. By Thomas Taylor: Two or more Works. English",1809,London
111869,Aristotelis Ethicorum Nicomacheorum libri decem ... Edidit Car. Lud. Michelet: Single Works. Ethica Nicomachea. Greek,1835,Berolini
112109,"Ἀριστοτελους μετεωρολογικα. Aristotelis Meteorologicorum libri IV. ... Denuo post Bekkerum ... recensuit, novam interpretationem latinam confecit, excerpta ex commentariis Alexandri, Olympiodori et Ioannis Philoponi, suos commentarios adiecit ... indices ... addidit Iulius Ludovicus Ideler: Single Works. Meteorologica. Greek and Latin",1834,Lipsiae
112593,"Politique d'Aristote, traduite du grec, avec des notes et des éclaircissemens, par Charles Millon ... On a joint ... une notice sur Aristote et sur ses écrits; une liste chronologique des éditions de ses œuvres; plusieurs extraits de Platon, et les deux traités de Xénophon sur les républiques de Sparte et d'Athènes, etc: Single Works. Politica. French",1803,Paris
115066,"Arminell. A social romance. By the author of “Mehalah,” etc. [i.e. S. Baring Gould]",1890,London
116525,Nelly Armstrong: a story of the day. By the author of “Rose Douglas” [i.e. S. R. Whitehead],1853,London
117698,"Monuments religieux, militaires et civils des Deux-Sèvres ... Seconde édition. Avec une notice biographique sur Ch. Arnauld, A. Baugier et E. Conte, un précis de l'histoire du Départment et de la Ville de Niort, par L. Favre. [With plates.]",1876,Niort
117760,Germanicus ... Translated ... into blank verse by George Bernel ... To which is prefixed an historical account of Germanicus,1817,London
119124,East and West. Being papers reprinted from the “Daily Telegraph” and other sources ... With ... illustrations by R. T. Pritchett,1896,London
119421,Village Lyrics. By Henrietta and Charlotte Arnold,1878,London
119498,"Jessie Arnold; or, the Murder at the Old Well. A romance. By the author of “The Black Mantle,” [i.e. J. M. Rymer] etc",1852,London
119514,"John Arnold. [A novel.] By the author of “Mathew Paxton,” etc. [i.e. William Wilson, Minister at Etal.]",1862,London
119572,Palms and Temples. Being notes of a four months' voyage upon the Nile ... With a preface by Edwin Arnold,1882,London
119589,"Lettice Arnold. A tale. By the author of “Emilia Wyndham,” etc. [i.e. Anne Marsh.]",1850,London
119831,The Matthew Arnold Birthday-Book. [Extracts from Arnold's poems.] Arranged by his daughter Eleanor Arnold. With a portrait: Selections,1883,London
120150,"History of the later Roman Commonwealth, from the end of the Second Punic War to the death of Julius Cæsar; and of the reign of Augustus: with a life of Trajan ... Republished from “The Encyclopædia Metropolitana.” [With a preface by Bonamy Price.]",1845,London
120481,Nordens enhet och Kristian II. Med företal af A. Hedin,1899,Stockholm
122224,"[Arrian's History of Alexander's Expedition. Translated from the Greek. With notes, historical, geographical, and critical by Mr. Rooke ... To which is prefix'd, Mr. Le Clerc's Criticism upon Quintus Curtius. And some remarks upon Mr. Perizonius's Vindication of that author. (Arrian's Indian History.)]: Single Works. Anabasis. English",1812,London
122225,Arrian's History of the Expedition of Alexander the Great ... Translated ... by Mr. Rooke and now corrected and enlarged ... The second edition: Single Works. Anabasis. English,1813,London
122226,"The Anabasis of Alexander ... Literally translated, with a commentary ... by E. J. Chinnock: Single Works. Anabasis. English",1884,London
122277,"Ἀρριανος. Ἀνονυμοι τρεις. Ἀγαθημερος. Τεμαχια δυο. Arriani periplus Ponti Euxini. Anonymi periplus Ponti Euxini, qui Arriano falso adscribitur. Anonymi periplus Ponti Euxini et Maeotidis Paludis. Anonymi mensura Ponti Euxini. Agathemeri hypotyposes geographiae. Fragmenta duo geographica. Graece et Latine. Additis H. Dodwelli, F. Osanni aliorumque dissertationibus, atque Stuckii, Tennulii, Vossii ... suisque notis, edidit S. F. G. Hoffmann: Single Works. Periplus Ponti Euxini. Greek",1842,Lipsiae
122281,"Le Périple de la Mer Noire ... Traduction, étude historique et géographique, index et carte par Henry Chotard: Single Works. Periplus Ponti Euxini. French",1860,Paris
122459,"[Notizie storiche della Valsassina e delle terre limitrofe dalla più rimota fino alla presente età, raccolte ed ordinate dall' ingegnere G. Arrigoni.]",1889,Lecco
122610,Seven-Stones Light-Ship. Correspondence between Captain F. Arrow ... and Mr. Augustus Smith,1868,London
122645,[A Compendium of Ancient and Modern Geography ... New and improved edition.],1856,London
123451,The Art of Preserving Health: a poem. [By John Armstrong.],1744,London
123464,"A Supplement to the Profund. Containing several examples, very proper to illustrate the rules laid down in a late treatise, called The Art of Sinking in Poetry [i.e. “Περι Βαθους: or, Martin Scriblerus his Treatise of the Art of Sinking in Poetry,” written by Pope, and published in the “last volume” of the “Miscellanies in Prose and Verse” edited jointly by Swift and Pope]. Extracted from the poetical works of the ingenious authors of that accurate piece ... In two letters to a friend. [By Matthew Concanen, the elder.]",1728,London
